i_epi,Horizon,accu_rewards,time_elipse,loss
9342,864,420.0,988.7140060544014,6.8574066162109375
9343,850,420.0,988.8011927962303,16.626407623291016
9344,575,315.0,988.8639989018441,6.815608024597168
9345,515,231.0,988.9223128358523,13.403888702392578
9346,937,441.0,989.0189331650733,10.088369369506836
9347,1103,546.0,989.1326095859209,13.379969596862793
9348,633,336.0,989.2007928450902,19.904220581054688
9349,629,189.0,989.2682343800863,3.547983169555664
9350,815,378.0,989.3534746249517,6.819451332092285
9351,554,189.0,989.4153944889705,10.085312843322754
9352,843,567.0,989.5044295867284,6.815128326416016
9353,893,441.0,989.5964954932531,13.372783660888672
9354,706,294.0,989.6733353614807,6.814460754394531
9355,853,525.0,989.7623031059901,13.418712615966797
9356,650,399.0,989.8341706355412,19.9342098236084
9357,860,399.0,989.9233348449071,10.08825397491455
9358,731,462.0,989.9999569137891,13.354591369628906
9359,666,273.0,990.071313504378,10.085500717163086
9360,435,189.0,990.1212281346321,10.082138061523438
9361,542,294.0,990.1821330110232,10.093557357788086
9362,846,378.0,990.2766953746478,0.26262208819389343
9363,460,210.0,990.3314216295878,10.084024429321289
9364,908,420.0,990.4305384755135,10.088371276855469
9365,871,420.0,990.5221117734909,3.529404401779175
9366,775,399.0,990.6046078324318,3.5262033939361572
9367,929,525.0,990.703709212939,13.401816368103027
9368,879,441.0,990.7944674452145,6.803703308105469
9369,678,399.0,990.8672986189524,10.087512016296387
9370,282,63.0,990.9039440512657,6.802883148193359
9371,610,315.0,990.9711374163628,10.08603572845459
9372,685,21.0,991.0482147614161,3.524832248687744
9373,648,273.0,991.1203058878581,3.519949197769165
9374,835,504.0,991.2060875813166,10.08578109741211
9375,864,420.0,991.295571343104,3.5187106132507324
9376,531,294.0,991.355272591114,6.802635192871094
9377,756,294.0,991.4345115542412,10.134909629821777
9378,844,420.0,991.521563967069,6.799272060394287
9379,673,336.0,991.5934062798818,10.107738494873047
9380,864,420.0,991.6839804728826,10.082990646362305
9381,718,357.0,991.7611963033676,13.364411354064941
9382,711,399.0,991.8366014877955,6.814146041870117
9383,743,378.0,991.9142108241717,3.536576509475708
9384,665,336.0,991.9853279431661,13.367057800292969
9385,474,189.0,992.0401059110959,3.5323376655578613
9386,794,441.0,992.125063987573,6.808521270751953
9387,899,378.0,992.2195015986761,6.803360462188721
9388,694,315.0,992.2945134997368,6.80377197265625
9389,939,567.0,992.3908032377561,13.372621536254883
9390,912,588.0,992.4854247649511,13.371696472167969
9391,824,378.0,992.5710623582204,13.380642890930176
